20210607
menu_vp001.arc,[CM3D2 Append][Visual Pack]
menu_dlc135.arc,[CM3D2 Shop][Monthly Pack 12]
menu_dlc142.arc,[CM3D2 Shop][Monthly Pack 13]
menu_dlc150.arc,[CM3D2 Shop][Monthly Pack 14]
menu_dlc160.arc,[CM3D2 Shop][Monthly Pack 15]
menu_dlc168.arc,[CM3D2 Shop][Monthly Pack 16]
menu_dlc172.arc,[CM3D2 Shop][Monthly Pack 17]
menu_dlc176.arc,[CM3D2 Shop][Monthly Pack 18]
menu_dlc184.arc,[CM3D2 Shop][Monthly Pack 19]
menu_dlc190.arc,[CM3D2 Shop][Monthly Pack 20]
menu_dlc193.arc,[CM3D2 Shop][Monthly Pack 21]
menu_dlc205.arc,[CM3D2 Shop][Monthly Pack 22]
menu_dlc044.arc,[CM3D2 Shop][Collaboration 01][-Welcome to Pia Carrot!- Costumes]
menu_dlc051.arc,[CM3D2 Shop][Collaboration 02][Lose - Maitetsu Costumes]
menu_dlc057.arc,[CM3D2 Shop][Collaboration 03][Madsoft - Wagama High Spec Costumes]
menu_dlc063.arc,[CM3D2 Shop][Collaboration 04][Lump of Sugar - Tayutama 1&2 School Uniform]
menu_dlc080.arc,[CM3D2 Shop][Collaboration 05][White Powder - Lamunation! Rumune and Iris Impersonations]
menu_dlc083.arc,[CM3D2 Shop][Collaboration 06][Senren - Banka Set]
menu_dlc084.arc,[CM3D2 Shop][Collaboration 07][Kabe Tsuma 2 Scenario Set]
menu_dlc085.arc,[CM3D2 Shop][Collaboration 08][Kanotsuku2 + Can Know Two Close Dance]
menu_dlc101.arc,[CM3D2 Shop][Collaboration 09][Pajamas EX - Rabu Rabu Sisters Set]
menu_dlc111.arc,[CM3D2 Shop][Collaboration 10][Minato Soft - Maji de Watashi ni Koishinasai!]
menu_dlc113.arc,[CM3D2 Shop][Collaboration 11][Harukaze - Noratoto]
menu_dlc124.arc,[CM3D2 Shop][Collaboration 12][NanaWind - Haruoto Alice - Gram]
menu_dlc125.arc,[CM3D2 Shop][Collaboration 12.5][NanaWind - Haruoto Alice - Gram Rindou Yaya Set]
menu_dlc126.arc,[CM3D2 Shop][Collaboration 13][Clochette - Harumina].rar
menu_dlc138.arc,[CM3D2 Shop][Collaboration 14][Carol Works - Otorena]
menu_dlc141.arc,[CM3D2 Shop][Collaboration 15][NEKO WORKs - Neko Para]
menu_dlc146.arc,[CM3D2 Shop][Collaboration 16][Lump of Sugar - Tayutama 2 AS]
menu_dlc155.arc,[CM3D2 Shop][Collaboration 17][Ensemble - Ojonai]
menu_dlc157.arc,[CM3D2 Shop][Collaboration 18][Hibiki Works - Niizuma Lovely x Cation]
menu_dlc165.arc,[CM3D2 Shop][Collaboration 19][Make me Lover - Set]
csv_SelfishDestiny.arc,[CM3D2 Shop][Collaboration 19][Make me Lover - Selfish Destiny Dance]
menu_dlc170.arc,[CM3D2 Shop][Collaboration 20][Alice Soft - Beat Valkyrie Ixseal]
menu_dlc180.arc,[CM3D2 Shop][Collaboration 21][Harukaze - Noratoto 2]
menu_dlc182.arc,[CM3D2 Shop][Collaboration 22][Giga - Baldr Bringer]
menu_dlc188.arc,[CM3D2 Shop][Collaboration 23][Saga Planets - Kin iro Loveriche Vol. 1]
menu_dlc196.arc,[CM3D2 Shop][Collaboration 24][Saga Planets - Kin iro Loveriche Vol. 2]
menu_dlc200.arc,[CM3D2 Shop][Collaboration 25][Cocktail Soft - Can Can Bunny Premiere 3]
script_cos023.arc,[CM3D2 Shop][Collaboration 26][COM3D2 Launch Set & Event]
csv_ytgc001.arc,[CM3D2 Shop][Yotogi Class Skills Vol.01][Sweet Maid]
csv_ytgc002.arc,[CM3D2 Shop][Yotogi Class Skills Vol.02][Party Maid]
csv_ytgc003.arc,[CM3D2 Shop][Yotogi Class Skills Vol.03][Sex Slave Maid]
csv_ytgc004.arc,[CM3D2 Shop][Yotogi Class Skills Vol.04][Bridal Maid]
csv_ytgc005.arc,[CM3D2 Shop][Yotogi Class Skills Vol.05][Succubus Maid]
csv_ytgc006.arc,[CM3D2 Shop][Yotogi Class Skills Vol.06][Queen Maid]
csv_ytgc007.arc,[CM3D2 Shop][Yotogi Class Skills Vol.07][Darkness Maid]
csv_ytgc008.arc,[CM3D2 Shop][Yotogi Class Skills Vol.08][Cherished Maid]
csv_ytgc009.arc,[CM3D2 Shop][Yotogi Class Skills Vol.09][Bound Maid]
csv_ytgc010.arc,[CM3D2 Shop][Yotogi Class Skills Vol.10][Erotic Maid]
csv_ytgc011.arc,[CM3D2 Shop][Yotogi Class Skills Vol.11][Flirty Love Maid]
csv_ytgc012.arc,[CM3D2 Shop][Yotogi Class Skills Vol.12[[Abyss Maid]
csv_ytgc013.arc,[CM3D2 Shop][Yotogi Class Skills Vol.13][Pig Breeder Maid]
csv_ytgc014.arc,[CM3D2 Shop][Yotogi Class Skills Vol.14][Love Bound Maid]
csv_ytgc015.arc,[CM3D2 Shop][Yotogi Class Skills Vol.15][Ecstasy Maid]
csv_ytgc016.arc,[CM3D2 Shop][Yotogi Class Skills Vol.16][Crisis Maid]
csv_ytgc017.arc,[CM3D2 Shop][Yotogi Class Skills Vol.17][Healing Maid]
csv_ytgc018.arc,[CM3D2 Shop][Yotogi Class Skills Vol.18][Obedient Maid]
csv_anniversary001.arc,[CM3D2 Shop][MISC][1st Anniversary VIP Event]
script_xmas2016.arc,[CM3D2 Shop][MISC][Christmas 2016 and VIP Events]
script_event001.arc,[CM3D2 Shop][MISC][Valentines Events 2016]
script_event002.arc,[CM3D2 Shop][MISC][Valentines Events 2017]
csv_kissevent2017march.arc,[CM3D2 Shop][MISC][KISS Event 2017 March]
sound_20160401.arc,[CM3D2 Shop][MISC][April Fools'][2016 - Empire Defenders]
sound_20170401.arc,[CM3D2 Shop][MISC][April Fools'][2017 - Empire Fighters]
menu_cbp.arc,[CM3D2 Shop][MISC][CBL Bonus V1][Costume only]
menu_denkigai2015s001.arc,[CM3D2 Shop][Denkigai 2015 Summer Item Set][Event Version]
menu_denkigai2015w.arc,[CM3D2 Shop][Denkigai 2015 Winter Item Set][Event Version]
menu_denkigai2016s.arc,[CM3D2 Shop][Denkigai 2016 Summer Item Set][Event Version]
menu_denkigai2016w.arc,[CM3D2 Shop][Denkigai 2016 Winter Item Set][Event Version]
menu_dlcdenkigai2017w.arc,[CM3D2 Shop][Denkigai 2017 Winter Item Set][Event Version]
menu_dlc095.arc,[CM3D2 Shop][Maid-to-Order Hairsets]
menu_dlc001.arc,[CM3D2 Shop Freebee][Separate Maid Uniform]
menu_dlc014.arc,[CM3D2 Shop Freebee][Cow Costume]
menu_dlc069.arc,[CM3D2 Shop Freebee][White Lace Set]
menu_dlc079.arc,[CM3D2 Shop Freebee][Fox Ears and Tail]
menu_dlc098.arc,[CM3D2 Shop Freebee][Headphones]
menu_dlc118.arc,[CM3D2 Shop Freebee][New Years Hair Decoration]
menu_dlc090.arc,[CM3D2 Shop Freebee][Sports Sunglasses]
menu_dlc099.arc,[CM3D2 Shop Freebee][Dohatsuten Male Head]
menu_ordermade001.arc,[CM3D2 Shop Freebee][Yandere Launch Set]
menu_shop001.arc,[CM3D2][Pre-Order Bonus 01][Ordinary Maid Set]
menu_shop002.arc,[CM3D2][Pre-Order Bonus 02][Gothic Lace Dress]
menu_shop003.arc,[CM3D2][Pre-Order Bonus 03][Racing Maid]
menu_shop004.arc,[CM3D2][Pre-Order Bonus 04][Military One Piece]
menu_shop005.arc,[CM3D2][Pre-Order Bonus 05][Teacher Outfit]
menu_shop006.arc,[CM3D2][Pre-Order Bonus 06][Exotic dancer]
menu_shop007.arc,[CM3D2][Pre-Order Bonus 07][Garter Stocking]
menu_shop008.arc,[CM3D2][Pre-Order Bonus 08][Captivating Bustier]
menu_shop009.arc,[CM3D2][Pre-Order Bonus 09][Swimsuit]
menu_shop010.arc,[CM3D2][Pre-Order Bonus 10][Bare Ribbon]
menu_vr.arc,[CM3D2][MISC][Fried Chicken Earrings]
menu_dlsite.arc,[CM3D2][MISC][DLSite Bonus][Original Mascot Set]
menu_release.arc,[CM3D2][MISC][Release Bonus][Launch Shirt + Drill]
menu_sixteen.arc,[CM3D2][MISC][Sixteen Bonus][Nao Shirt]
menu_tech002.arc,[CM3D2][MISC][TECH GIAN Bonus][November 2016 Issue]
menu_chirashi001.arc,[CM3D2][MISC][Tokyo Big Sight Bonus][Medal Necklace]
menu_cd001.arc,[CM3D2][MISC][Vocal Collection 1][Music Dress Set]
voice_voicedvd_live.arc,[CM3D2][MISC][Yandere Drama CD][Plugin]
menu_wp001.arc,[CM3D2][MISC][W-Pack Bonus]
csv_nc_sakura.arc,[CM3D2][MISC][NicoNicoLive][VIP Event for Sakura - The Netori'd Catgirl]
voice_urayome001.arc,[CM3D2][MISC][Rewards from Contest - Maid After Hours][Masturbation Peeping VIP]
csv_bugbug.arc,[CM3D2][MISC][BugBug 2017]
csv_kissevent2017marchBox.arc,[CM3D2][MISC][KISS Event 2017 March - Box]
csv_kissevent2017marchPostervpvr.arc,[CM3D2][MISC][KISS Event 2017 March - Poster VR]
csv_kissevent2017marchScase.arc,[CM3D2][MISC][KISS Event 2017 March - SCase]
menu_kissevent2017marchPen.arc,[CM3D2][MISC][KISS Event 2017 March - Pen]
menu_kissevent2017marchTshirt.arc,[CM3D2][MISC][KISS Event 2017 March - T-Shirt]
bg_denkigai2015wMugcup.arc,[CM3D2][Denkigai 2015 Winter][Mug]
menu_denkigai2015wTshirt.arc,[CM3D2][Denkigai 2015 Winter][T-Shirt]
csv_denkigai2015wStandB.arc,[CM3D2][Denkigai 2015 Winter][Photo Stand B]
script_denkigai2015wvoicecd.arc,[CM3D2][Denkigai 2015 Winter][Maid Greetings Voice CD]
menu_denkigai2015wPants.arc,[CM3D2][Denkigai 2015 Winter][Panties+Skill]
menu_denkigai2015wTowel.arc,[CM3D2][Denkigai 2015 Winter][Towel Set]
csv_denkigai2016sPoster3d2act2.arc,[CM3D2][Denkigai 2016 Summer][Act 2 Poster]
menu_denkigai2016sMekakusi.arc,[CM3D2][Denkigai 2016 Summer][Blindfold+Skill]
menu_denkigai2016Sensu1.arc,[CM3D2][Denkigai 2016 Summer][Fan]
menu_denkigai2016sTshirt.arc,[CM3D2][Denkigai 2016 Summer][T-Shirt]
csv_denkigai2016sOkou.arc,[CM3D2][Denkigai 2016 Summer][Incense Coaster+Skill]
motion_denkigai2016sSoine.arc,[CM3D2][Denkigai 2016 Summer][Lap Pillow Plugin]
csv_denkigai2016sMugcup.arc,[CM3D2][Denkigai 2016 Summer][Mugcup]
csv_denkigai2016sLeathercase.arc,[CM3D2][Denkigai 2016 Summer][Leathercase]
csv_denkigai2016sMastercard.arc,[CM3D2][Denkigai 2016 Summer][Mastercard]
csv_denkigai2016sStand.arc,[CM3D2][Denkigai 2016 Summer][Stand]
bg_denkigai2016sMizu.arc,[CM3D2][Denkigai 2016 Summer][Maid Water]
menu_denkigai2016sSukumizu.arc,[CM3D2][Denkigai 2016 Summer][School Swimsuit + Skill]
csv_denkigai2016wcalendar.arc,[CM3D2][Denkigai 2016 Winter][Calendar]
menu_denkigai2016wkubiwa.arc,[CM3D2][Denkigai 2016 Winter][Collar]
csv_denkigai2016wvoicedvd.arc,[CM3D2][Denkigai 2016 Winter][Maid Encouragement Plugin]
menu_denkigai2017s.arc,[CM3D2 Shop][Denkigai 2017 Summer Item Set][Event Version]
csv_denkigai2017wPoster3d21.arc,[CM3D2][Denkigai 2017 Winter][COM3D2 Poster]
csv_denkigai2017wPosterStarter.arc,[CM3D2][Denkigai 2017 Winter][COM3D2 Starter Pack Poster]
csv_denkigai2017wpcard.arc,[CM3D2][Denkigai 2017 Winter][Gift Card]
csv_denkigai2017wPosterkaraoke002.arc,[CM3D2][Denkigai 2017 Winter][Karaoke Pack VR 2 Poster]
csv_denkigai2017wkey3.arc,[CM3D2][Denkigai 2017 Winter][Rindere Acrylic Keychain]
menu_dlc210.arc,[COMXCM][COM3D2 Shop][Collaboration 27][Pixel Mint - Paradize Ocean Set]
menu_dlc213.arc,[COMXCM][COM3D2 Shop][Collaboration 28][ensemble - Koihana Character Set]
menu_dlc216.arc,[COMXCM][COM3D2 Shop][Collaboration 29][Alicesoft - Rance 10 Character Set]
menu_dlc218.arc,[COMXCM][COM3D2 Shop][Collaboration 30][ANIM - Kabe Tsuma 2]
menu_dlc223.arc,[COMXCM][COM3D2 Shop][Collaboration 31][Yuzusoft - Riddle Joker Character Set]
menu_dlc226.arc,[COMXCM][COM3D2 Shop][Collaboration 32][F&C - Suigetsu Character Set]
menu_dlc228.arc,[COMXCM][COM3D2 Shop][Collaboration 33][Alumi Soft - Wanko no Yomeiri Character Set]
menu_dlc239.arc,[COMXCM][COM3D2 Shop][Collaboration 34][Madosoft - Raspberry Cube Full Set]
menu_dlc237.arc,[COMXCM][COM3D2 Shop][Collaboration 35][Minikui Mojika no Ko Character Set]
menu_dlc243.arc,[COMXCM][COM3D2 Shop][Collaboration 36][Mirai Radio to Jinkou-bato]
menu_dlc246.arc,[COMXCM][COM3D2 Shop][Collaboration 37][Kin'iro Loveriche -Golden Time]
menu_dlc250.arc,[COMXCM][COM3D2 Shop][Collaboration 38][CRYSTALiA - Mekuiro -Tsubaki Renka- Set]
menu_dlc254.arc,[COMXCM][COM3D2 Shop][Collaboration 39][Alicesoft - Evenicle 2 Set]
menu_dlc266.arc,[COMXCM][COM3D2 Shop][Collaboration 40][Clochette - Korolum Character Set]
menu_dlc271ns.arc,[COMXCM][COM3D2 Shop][Collaboration 41][Clochette - Korolum Character Set 2]
menu_dlc286.arc,[COMXCM][COM3D2 Shop][Collaboration 42][Alumi Soft - Wanko no Yomeiri 2 Character Set]
menu_dlc278.arc,[COMXCM][COM3D2 Shop][Collaboration 43][August - Iris Mysteria Character Set]
menu_dlc298.arc,[COMXCM][COM3D2 Shop][Collaboration 44][Nekoworks - NekoPara Character Set]
menu_dlc304.arc,[COMXCM][COM3D2 Shop][Collaboration 45][Giga - Ai Kiss Set]
menu_dlc308.arc,[COMXCM][COM3D2 Shop][Collaboration 48][August - Iris Mysteria Set 2]
menu_dlc318.arc,[COMXCM][COM3D2 Shop][Collaboration 49][Pajamas EX - Mari Set]
menu_dlc326.arc,[COMXCM][COM3D2 Shop][Collaboration 50][Pajamas EX - Me and Teachers H-Set]
menu_dlc345.arc,[COMXCM][COM3D2 Shop][Collaboration 51][August - Iris Mysteria Set 3]
menu_dlc361.arc,[COMXCM][COM3D2 Shop][Collaboration 52][Madosofu - Hamidashi Creative]
menu_dlc355.arc,[COMXCM][COM3D2 Shop][Collaboration 53][Giga - Ai Kiss 2 Set]
menu_dlc374.arc,[COMXCM][COM3D2 Shop][Collaboration 54][Pajama EX - Amama Sharing]
menu_dlc378.arc,[COMXCM][COM3D2 Shop][Collaboration 55][Caricature - Glass Princess and Mirror's Cousin]
menu_dlc399cloth.arc,[COMXCM][COM3D2 Shop][Collaboration 56][Caricature - Parfait Remake]
csv_omytgc001.arc,[COMXCM][COM3D2 Shop][Yotogi Class Skills Vol.19][Soap Maid]
csv_omytgc002.arc,[COMXCM][COM3D2 Shop][Yotogi Class Skills Vol.20][Abnormal]
csv_omytgc003.arc,[COMXCM][COM3D2 Shop][Yotogi Class Skills Vol.21][Love & Lust Maid]
csv_omytgc004.arc,[COMXCM][COM3D2 Shop][Yotogi Class Skills Vol.22][Restraint Transformation]
csv_omytgc005.arc,[COMXCM][COM3D2 Shop][Yotogi Class Skills Vol.23][Obedient & Hard Swap]
csv_omytgc006.arc,[COMXCM][COM3D2 Shop][Yotogi Class Skills Vol.24][Master Play & Perverted Shame]
csv_omytgc007.arc,[COMXCM][COM3D2 Shop][Yotogi Class Skills Vol.25][Pampered & Service Mother]
csv_omytgc008.arc,[COMXCM][COM3D2 Shop][Yotogi Class Skills Vol.26][Maniac & Hard Restrained]
menu_cas052.arc,[COMXCM][COM3D2 Shop Freebee][CR Edit Commemorative Items]
menu_dlc372.arc,[COMXCM][COM3D2 Shop Freebee][Cute Santa Set]
menu_cas020.arc,[COMXCM][COM3D2 Shop Freebee][Medical Eye Patch]
menu_cas035.arc,[COMXCM][COM3D2 Shop Freebee][Mask]
menu_free002.arc,[COMXCM][COM3D2 Shop Freebee][Valentines Chocolate Set]
menu_free005.arc,[COMXCM][COM3D2 Shop Freebee][Hat & Paper]
menu_oldplus002hair1.arc,[COMXCM][COM3D2 Shop][Vigilance&Lover Plus][Tsundere][Hair]
menu_oldplus003hair1.arc,[COMXCM][COM3D2 Shop][Vigilance&Lover Plus][Kuudere][Hair]
script_oldplus004.arc,[COMXCM][COM3D2 Shop][Vigilance&Lover Plus][Yandere][Hair&Event]
menu_oldplus005hair1.arc,[COMXCM][COM3D2 Shop][Vigilance&Lover Plus][Oneechan][Hair]
menu_cas008.arc,[COMXCM][COM3D2 Shop][Event AddOn Vol.13][+Costume]
menu_cas017.arc,[COMXCM][COM3D2 Shop][Event AddOn Vol.14][+Costume]
menu_dlc338.arc,[COMXCM][COM3D2 Shop][Event AddOn Vol.15][+Costume]
menu_cw001cloth4.arc,[COMXCM][COM3D2 Shop][Costume & Shopping Set Vol.1]
menu_cw002cloth4.arc,[COMXCM][COM3D2 Shop][Costume & Shopping Set Vol.2]
menu_cas006.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.1]
menu_dlc313.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.2]
menu_cw003cloth3.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.3]
menu_dlc317.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.4]
menu_dlc322.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.5]
menu_cas014.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.6]
menu_dlc325.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.7]
menu_dlc327.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.8]
menu_dlc333.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.9]
menu_dlc340.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.10]
menu_dlc348.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.11]
menu_dlc356.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.12]
menu_dlc367.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.13]
menu_cas022.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.14]
menu_cas028.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.15]
menu_cas034.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.16]
menu_cas041.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.17]
menu_dlc381.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.18]
menu_cas047.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.19]
menu_dlc389.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.20]
menu_cas055.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.21]
menu_cas061.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.22]
menu_cas066.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.23]
menu_dlc397.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.24]
menu_cr005.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.25]
menu_dlc403.arc,[COMXCM][COM3D2 Shop][Costume Set Vol.26]
menu_dlc371.arc,[COMXCM][COM3D2 Shop][Adult Costume Set Vol.01]
menu_cw007cloth3.arc,[COMXCM][COM3D2 Shop][Adult Costume Set Vol.02]
menu_dlc385.arc,[COMXCM][COM3D2 Shop][Adult Costume Set Vol.03]
menu_cw004cloth3.arc,[COMXCM][COM3D2 Shop][Date Pack 1][Spring 2020]
menu_cw005cloth4.arc,[COMXCM][COM3D2 Shop][Date Pack 2][Summer 2020]
menu_sp007cloth3.arc,[COMXCM][COM3D2 Shop][Date Pack 3][Winter 2021]
menu_sp001cloth3.arc,[COMXCM][COM3D2 Shop][Season Pack 1][Summer 2018]
menu_sp002cloth3.arc,[COMXCM][COM3D2 Shop][Season Pack 2][Autumn 2018]
menu_sp003cloth3.arc,[COMXCM][COM3D2 Shop][Season Pack 3][Winter 2018]
menu_sp004cloth3.arc,[COMXCM][COM3D2 Shop][Season Pack 4][Spring 2019]
menu_sp005cloth3.arc,[COMXCM][COM3D2 Shop][Season Pack 5][Summer 2019]
menu_sp006cloth1.arc,[COMXCM][COM3D2 Shop][Season Pack 6][Winter 2019]
menu_denkigai2018s.arc,[COMXCM][COM3D2 Shop][Denkigai 2018 Summer Item Set][Event Version]
menu_denkigai2018w.arc,[COMXCM][COM3D2 Shop][Denkigai 2018 Winter Item Set][Event Version]
menu_denkigai2019s.arc,[COMXCM][COM3D2 Shop][Denkigai 2019 Summer Item Set][Event Version]
menu_denkigai2019w.arc,[COMXCM][COM3D2 Shop][Denkigai 2019 Winter Item Set][Event Version]
menu_denkigai2020s.arc,[COMXCM][COM3D2 Shop][Denkigai 2020 Summer Item Set][Event Version]
menu_denkigai2020w.arc,[COMXCM][COM3D2 Shop][Denkigai 2020 Winter Item Set][Event Version]
menu_kissevent2018.arc,[COMXCM][COM3D2 Shop][MISC][KISS Event 2018 March]
menu_com3d2cbp.arc,[COMXCM][COM3D2 Shop][MISC][CBL Maid Set V2]
menu_magazine003.arc,[COMXCM][COM3D2 Append][Fanbook 3]
menu_dlc392.arc,[COMXCM][COM3D2 Append][AV Pack Vol.1]
csv_kissevent2018_pamphlet.arc,[COMXCM][MISC][KISS Event 2018 - KISS 20th Anniversary Memorial Book Desktop Item]
texture_shop021.arc,[COMXCM][GP01 Pre-Order Bonus][Sexy Tail Dress Set]
menu_bcc.arc,[COMXCM][MISC][BitCash Collaboration Set 1]
menu_bcc3.arc,[COMXCM][MISC][BitCash Collaboration Set 2]
texture_ggcc.arc,[COMXCM][MISC][GoGo Curry Collaboration Costume Set]
menu_maidcafec.arc,[COMXCM][MISC][Cafe Mailish Collaboration Maid Set I]
menu_maidcafec2.arc,[COMXCM][MISC][Cafe Mailish Collaboration Maid Set II]
menu_maidcafec3.arc,[COMXCM][MISC][Cafe Mailish Collaboration Maid Set III]
menu_bugbug002.arc,[COMXCM][MISC][BuGBug Lingerie]
csv_bugbug003.arc,[COMXCM][MISC][BugBug Yotogi Class Skills]
menu_3d21reserve.arc,[COMXCM][Grade Up Reservation Campaign Vol. 1]
menu_cd002.arc,[COMXCM][MISC][Vocal Collection 2][Groove Dress]
menu_cd003.arc,[COMXCM][MISC][Vocal Collection 3][Sound Dress]
menu_tech003.arc,[COMXCM][Tech Gian][Sakura Moyu Kuro Narikiri Set]
menu_tech004.arc,[COMXCM][Tech Gian][Raspberry Cube Ruri Uniform]
menu_dlc279.arc,[COMXCM][Tech Gian][Iris Mysteria Set 1 - Chris]
menu_dlc309.arc,[COMXCM][Tech Gian][Iris Mysteria Set 2 - Koto]
menu_dlc346.arc,[COMXCM][Tech Gian][Iris Mysteria Set 3 - Lydia]
model_vac001.arc,[COMXCM][Tech Gian][Voice Actress Concerto 1]
menu_vac002.arc,[COMXCM][Tech Gian][Voice Actress Concerto 2]
csv_denkigai2018srecord.arc,[COMXCM][MISC][Denkigai 2018 Summer][Analog Record]
csv_denkigai2018sposterhubs2.arc,[COMXCM][MISC][Denkigai 2018 Summer][Chu-B Lip S2 Poster]
csv_denkigai2018spostercm3d2com3d2.arc,[COMXCM][MISC][Denkigai 2018 Summer][COM3D2&CM3D2 WPack Poster]
csv_denkigai2018spcard.arc,[COMXCM][MISC][Denkigai 2018 Summer][Gift Card]
csv_denkigai2018spostermukuti.arc,[COMXCM][MISC][Denkigai 2018 Summer][Poster Bookworm]
csv_denkigai2018ssposter1.arc,[COMXCM][MISC][Denkigai 2018 Summer][Stick Poster Bookworm]
csv_denkigai2018sposteryandere.arc,[COMXCM][MISC][Denkigai 2018 Summer][Yandere Personality Pack Poster]
menu_denkigai2018syosikoshirt.arc,[COMXCM][MISC][Denkigai 2018 Summer][Yoshiko T-Shirt]
csv_denkigai2018wpcard.arc,[COMXCM][MISC][Denkigai 2018 Winter][Gift Card]
menu_denkigai2018wmumuta.arc,[COMXCM][MISC][Denkigai 2018 Winter][Mumuta Original Costume Set 1]
menu_denkigai2019smumuta.arc,[COMXCM][MISC][Denkigai 2019 Summer][Mumuta Original Costume Set 2]
csv_denkigai2019ssposter1.arc,[COMXCM][MISC][Denkigai 2019 Summer][Maid Secretary StickPoster]
csv_denkigai2019ssposter2.arc,[COMXCM][MISC][Denkigai 2019 Summer][Imouto Stick Poster]
csv_denkigai2019ssposter3.arc,[COMXCM][MISC][Denkigai 2019 Summer][Wary StickPoster]
csv_denkigai2019wposter.arc,[COMXCM][MISC][Denkigai 2019 Winter][Ojousama Poster]
csv_soukiyoyaku.arc,[COMXCM][MISC][Early Reservation Campaign Fancy Paper]
menu_nijiyomec.arc,[COMXCM][MISC][DLSite Bonus - Nijiyomec Costume]
bg_yomeidokanteidan_bromide.arc,[COMXCM][S-Court CR Shop][Bromide]
bg_yomeidokanteidan_sticker.arc,[COMXCM][S-Court CR Shop][Sticker]
bg_yomeidokanteidan_portrait.arc,[COMXCM][S-Court CR Shop][Portrait]
bg_yomeidokanteidan_nicepot.arc,[COMXCM][S-Court CR Shop][Nice Pot]
bg_yomeidokanteidan_nicescroll.arc,[COMXCM][S-Court CR Shop][Nice Scroll]
